start;end;response_type;progress;duration_seconds;finished;date;hourly_wage;donation;significant _self;values_self;reflection_self;control;shape_utilize;involvement;donation;significant _self;values_self;reflection_self;control;shape_utilize;involvement;donation;significant _self;values_self;reflection_self;control;shape_utilize;involvement;donation;significant _self;values_self;reflection_self;control;shape_utilize;involvement;trust;gender;age;condition
1-5-2024 10:40;1-5-2024 10:41;0;100;29;1;1-5-2024 10:41;40;;;;;;;;;;;;;;;;;;;;;;0;1;1;1;1;1;1;1;2;41;Moneylongterm
1-5-2024 10:40;1-5-2024 10:41;0;100;32;1;1-5-2024 10:41;19,5;20;4;6;5;4;5;5;;;;;;;;;;;;;;;;;;;;;;5;2;44;MoneyasTimeWorkedImmediate
1-5-2024 10:40;1-5-2024 10:41;0;100;36;1;1-5-2024 10:41;40;;;;;;;;;;;;;;;0;1;1;1;1;1;1;;;;;;;;1;1;33;MoneyImmediate
1-5-2024 10:40;1-5-2024 10:41;0;100;40;1;1-5-2024 10:41;15;;;;;;;;;;;;;;;10;6;7;6;3;4;4;;;;;;;;6;2;28;MoneyImmediate
1-5-2024 10:40;1-5-2024 10:41;0;100;34;1;1-5-2024 10:41;60;;;;;;;;;;;;;;;;;;;;;;0;1;1;1;1;1;1;1;1;43;Moneylongterm
1-5-2024 10:40;1-5-2024 10:41;0;100;49;1;1-5-2024 10:41;10;;;;;;;;;;;;;;;;;;;;;;50;5;7;6;5;6;5;6;1;27;Moneylongterm
1-5-2024 10:40;1-5-2024 10:41;0;100;49;1;1-5-2024 10:41;20;;;;;;;;;;;;;;;10;5;5;5;2;2;3;;;;;;;;4;1;43;MoneyImmediate
1-5-2024 10:40;1-5-2024 10:41;0;100;50;1;1-5-2024 10:41;21;3;6;6;7;6;5;6;;;;;;;;;;;;;;;;;;;;;;7;1;29;MoneyasTimeWorkedImmediate
1-5-2024 10:40;1-5-2024 10:41;0;100;56;1;1-5-2024 10:41;0;;;;;;;;50;5;6;6;6;6;6;;;;;;;;;;;;;;;6;2;29;MoneyasTimeLongTerm
1-5-2024 10:40;1-5-2024 10:41;0;100;50;1;1-5-2024 10:41;25,3;;;;;;;;;;;;;;;;;;;;;;1;2;6;3;1;1;1;7;1;53;Moneylongterm
1-5-2024 10:40;1-5-2024 10:41;0;100;54;1;1-5-2024 10:41;48;;;;;;;;;;;;;;;;;;;;;;20;6;6;6;1;1;1;7;1;47;Moneylongterm
1-5-2024 10:40;1-5-2024 10:41;0;100;42;1;1-5-2024 10:41;30;;;;;;;;;;;;;;;40;6;7;7;2;2;5;;;;;;;;7;2;23;MoneyImmediate
1-5-2024 10:40;1-5-2024 10:41;0;100;50;1;1-5-2024 10:41;0;;;;;;;;;;;;;;;0;4;5;4;4;4;5;;;;;;;;3;1;18;MoneyImmediate
1-5-2024 10:40;1-5-2024 10:41;0;100;46;1;1-5-2024 10:41;15;;;;;;;;;;;;;;;50;5;6;5;4;3;3;;;;;;;;5;1;19;MoneyImmediate
1-5-2024 10:40;1-5-2024 10:41;0;100;70;1;1-5-2024 10:41;40;2;5;5;5;5;5;5;;;;;;;;;;;;;;;;;;;;;;6;2;48;MoneyasTimeWorkedImmediate
1-5-2024 10:40;1-5-2024 10:41;0;100;52;1;1-5-2024 10:41;18;3;6;6;6;5;5;6;;;;;;;;;;;;;;;;;;;;;;6;1;26;MoneyasTimeWorkedImmediate
1-5-2024 10:41;1-5-2024 10:41;0;100;48;1;1-5-2024 10:41;100;;;;;;;;1;7;6;7;7;5;7;;;;;;;;;;;;;;;7;2;35;MoneyasTimeLongTerm
1-5-2024 10:41;1-5-2024 10:41;0;100;44;1;1-5-2024 10:41;12,8;10;5;6;5;5;5;5;;;;;;;;;;;;;;;;;;;;;;5;1;23;MoneyasTimeWorkedImmediate
1-5-2024 10:40;1-5-2024 10:41;0;100;71;1;1-5-2024 10:41;16,5;;;;;;;;;;;;;;;0;3;3;3;1;1;1;;;;;;;;3;2;60;MoneyImmediate
1-5-2024 10:40;1-5-2024 10:41;0;100;59;1;1-5-2024 10:41;25;5;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;;;;;6;2;35;MoneyasTimeWorkedImmediate
1-5-2024 10:40;1-5-2024 10:41;0;100;54;1;1-5-2024 10:41;35;;;;;;;;0;6;4;2;3;1;1;;;;;;;;;;;;;;;7;2;35;MoneyasTimeLongTerm
1-5-2024 10:40;1-5-2024 10:41;0;100;58;1;1-5-2024 10:41;60;;;;;;;;;;;;;;;;;;;;;;0;1;1;7;1;1;1;1;1;51;Moneylongterm
1-5-2024 10:40;1-5-2024 10:41;0;100;70;1;1-5-2024 10:41;20;;;;;;;;6;7;7;4;1;1;1;;;;;;;;;;;;;;;7;1;39;MoneyasTimeLongTerm
1-5-2024 10:40;1-5-2024 10:41;0;100;57;1;1-5-2024 10:41;27;;;;;;;;2;5;5;5;5;5;5;;;;;;;;;;;;;;;5;2;33;MoneyasTimeLongTerm
1-5-2024 10:40;1-5-2024 10:41;0;100;61;1;1-5-2024 10:41;35;2;4;5;5;4;4;5;;;;;;;;;;;;;;;;;;;;;;7;1;31;MoneyasTimeWorkedImmediate
1-5-2024 10:40;1-5-2024 10:41;0;100;70;1;1-5-2024 10:41;15;;;;;;;;1;3;6;6;4;4;4;;;;;;;;;;;;;;;5;1;32;MoneyasTimeLongTerm
1-5-2024 10:41;1-5-2024 10:41;0;100;53;1;1-5-2024 10:41;12;;;;;;;;;;;;;;;50;4;5;6;3;3;3;;;;;;;;5;1;18;MoneyImmediate
1-5-2024 10:40;1-5-2024 10:41;0;100;67;1;1-5-2024 10:41;12;8;6;7;5;4;4;7;;;;;;;;;;;;;;;;;;;;;;6;1;40;MoneyasTimeWorkedImmediate
1-5-2024 10:40;1-5-2024 10:41;0;100;59;1;1-5-2024 10:41;18;;;;;;;;;;;;;;;5;2;3;2;3;3;3;;;;;;;;5;1;37;MoneyImmediate
1-5-2024 10:41;1-5-2024 10:41;0;100;48;1;1-5-2024 10:41;10;;;;;;;;;;;;;;;;;;;;;;1;2;3;3;2;2;2;3;2;41;Moneylongterm
1-5-2024 10:40;1-5-2024 10:41;0;100;79;1;1-5-2024 10:41;15;;;;;;;;;;;;;;;20;7;7;7;4;4;4;;;;;;;;7;1;33;MoneyImmediate
1-5-2024 10:41;1-5-2024 10:41;0;100;56;1;1-5-2024 10:42;23;;;;;;;;;;;;;;;;;;;;;;0;5;2;2;1;1;1;4;2;51;Moneylongterm
1-5-2024 10:40;1-5-2024 10:42;0;100;73;1;1-5-2024 10:42;16;5;7;7;7;2;2;2;;;;;;;;;;;;;;;;;;;;;;7;2;62;MoneyasTimeWorkedImmediate
1-5-2024 10:41;1-5-2024 10:42;0;100;61;1;1-5-2024 10:42;0;0;2;4;3;1;1;1;;;;;;;;;;;;;;;;;;;;;;3;1;64;MoneyasTimeWorkedImmediate
1-5-2024 10:40;1-5-2024 10:42;0;100;69;1;1-5-2024 10:42;14;0;1;6;6;1;1;1;;;;;;;;;;;;;;;;;;;;;;7;2;20;MoneyasTimeWorkedImmediate
1-5-2024 10:41;1-5-2024 10:42;0;100;58;1;1-5-2024 10:42;17,25;;;;;;;;;;;;;;;20;2;3;3;3;3;2;;;;;;;;6;1;31;MoneyImmediate
1-5-2024 10:40;1-5-2024 10:42;0;100;74;1;1-5-2024 10:42;15;;;;;;;;;;;;;;;20;6;6;6;1;1;1;;;;;;;;6;1;41;MoneyImmediate
1-5-2024 10:40;1-5-2024 10:42;0;100;73;1;1-5-2024 10:42;15;;;;;;;;2;6;6;6;4;4;4;;;;;;;;;;;;;;;5;2;44;MoneyasTimeLongTerm
1-5-2024 10:40;1-5-2024 10:42;0;100;70;1;1-5-2024 10:42;22;;;;;;;;;;;;;;;;;;;;;;100;5;5;4;4;4;3;5;2;38;Moneylongterm
1-5-2024 10:40;1-5-2024 10:42;0;100;93;1;1-5-2024 10:42;16;;;;;;;;5;2;4;3;5;5;5;;;;;;;;;;;;;;;2;2;52;MoneyasTimeLongTerm
1-5-2024 10:41;1-5-2024 10:42;0;100;69;1;1-5-2024 10:42;75;;;;;;;;;;;;;;;;;;;;;;0;1;1;1;1;1;1;1;1;61;Moneylongterm
1-5-2024 10:41;1-5-2024 10:42;0;100;68;1;1-5-2024 10:42;17,5;;;;;;;;10;6;6;6;6;6;6;;;;;;;;;;;;;;;5;2;29;MoneyasTimeLongTerm
1-5-2024 10:40;1-5-2024 10:42;0;100;79;1;1-5-2024 10:42;30;;;;;;;;;;;;;;;5;2;4;5;3;4;5;;;;;;;;4;2;51;MoneyImmediate
1-5-2024 10:40;1-5-2024 10:42;0;100;81;1;1-5-2024 10:42;20;;;;;;;;;;;;;;;;;;;;;;5;5;5;5;2;2;2;6;1;38;Moneylongterm
1-5-2024 10:41;1-5-2024 10:42;0;100;36;1;1-5-2024 10:42;30;;;;;;;;;;;;;;;0;1;1;1;1;1;1;;;;;;;;4;1;49;MoneyImmediate
1-5-2024 10:40;1-5-2024 10:42;0;100;97;1;1-5-2024 10:42;26;2;4;4;3;4;4;4;;;;;;;;;;;;;;;;;;;;;;4;1;49;MoneyasTimeWorkedImmediate
1-5-2024 10:41;1-5-2024 10:42;0;100;72;1;1-5-2024 10:42;30;2;5;5;5;3;3;3;;;;;;;;;;;;;;;;;;;;;;7;2;37;MoneyasTimeWorkedImmediate
1-5-2024 10:40;1-5-2024 10:42;0;100;82;1;1-5-2024 10:42;19;3;6;6;5;5;5;7;;;;;;;;;;;;;;;;;;;;;;4;2;32;MoneyasTimeWorkedImmediate
1-5-2024 10:41;1-5-2024 10:42;0;100;75;1;1-5-2024 10:42;62,5;;;;;;;;1;4;4;4;5;5;5;;;;;;;;;;;;;;;4;1;38;MoneyasTimeLongTerm
1-5-2024 10:40;1-5-2024 10:42;0;100;94;1;1-5-2024 10:42;20;;;;;;;;5;6;6;6;3;3;2;;;;;;;;;;;;;;;7;2;54;MoneyasTimeLongTerm
1-5-2024 10:41;1-5-2024 10:42;0;100;63;1;1-5-2024 10:42;65;;;;;;;;;;;;;;;;;;;;;;20;2;3;3;2;2;2;4;1;44;Moneylongterm
1-5-2024 10:41;1-5-2024 10:42;0;100;48;1;1-5-2024 10:42;15;10;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;;;;;6;2;35;MoneyasTimeWorkedImmediate
1-5-2024 10:41;1-5-2024 10:42;0;100;56;1;1-5-2024 10:42;26;;;;;;;;;;;;;;;0;1;1;1;1;1;1;;;;;;;;1;2;29;MoneyImmediate
1-5-2024 10:40;1-5-2024 10:42;0;100;95;1;1-5-2024 10:42;26;;;;;;;;2;5;6;6;7;7;7;;;;;;;;;;;;;;;6;2;27;MoneyasTimeLongTerm
1-5-2024 10:41;1-5-2024 10:42;0;100;45;1;1-5-2024 10:42;50;;;;;;;;;;;;;;;;;;;;;;0;1;1;1;2;2;2;4;1;33;Moneylongterm
1-5-2024 10:41;1-5-2024 10:42;0;100;63;1;1-5-2024 10:42;10;;;;;;;;;;;;;;;1;1;4;1;1;1;1;;;;;;;;1;2;46;MoneyImmediate
1-5-2024 10:40;1-5-2024 10:42;0;100;93;1;1-5-2024 10:42;18,25;;;;;;;;;;;;;;;;;;;;;;10;5;5;5;1;1;1;5;1;55;Moneylongterm
1-5-2024 10:41;1-5-2024 10:42;0;100;43;1;1-5-2024 10:42;15;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;5;2;39;Moneylongterm
1-5-2024 10:40;1-5-2024 10:42;0;100;107;1;1-5-2024 10:42;9;;;;;;;;;;;;;;;;;;;;;;10;6;6;6;6;3;3;5;1;51;Moneylongterm
1-5-2024 10:41;1-5-2024 10:42;0;100;47;1;1-5-2024 10:42;20;;;;;;;;;;;;;;;0;2;3;3;1;1;1;;;;;;;;4;2;31;MoneyImmediate
1-5-2024 10:41;1-5-2024 10:42;0;100;53;1;1-5-2024 10:42;0;0;5;5;3;3;4;4;;;;;;;;;;;;;;;;;;;;;;5;2;19;MoneyasTimeWorkedImmediate
1-5-2024 10:40;1-5-2024 10:42;0;100;111;1;1-5-2024 10:42;13;;;;;;;;1;1;4;2;1;1;1;;;;;;;;;;;;;;;5;1;39;MoneyasTimeLongTerm
1-5-2024 10:41;1-5-2024 10:42;0;100;77;1;1-5-2024 10:42;23;;;;;;;;;;;;;;;;;;;;;;50;3;5;3;3;3;3;6;2;54;Moneylongterm
1-5-2024 10:41;1-5-2024 10:42;0;100;59;1;1-5-2024 10:42;20;0;7;7;4;5;5;5;;;;;;;;;;;;;;;;;;;;;;7;1;45;MoneyasTimeWorkedImmediate
1-5-2024 10:41;1-5-2024 10:42;0;100;57;1;1-5-2024 10:42;18;1;5;5;6;4;4;4;;;;;;;;;;;;;;;;;;;;;;5;1;23;MoneyasTimeWorkedImmediate
1-5-2024 10:41;1-5-2024 10:42;0;100;49;1;1-5-2024 10:42;17;;;;;;;;;;;;;;;10;1;1;1;1;1;1;;;;;;;;1;1;33;MoneyImmediate
1-5-2024 10:41;1-5-2024 10:42;0;100;74;1;1-5-2024 10:42;0;;;;;;;;;;;;;;;10;7;7;7;1;1;4;;;;;;;;7;2;46;MoneyImmediate
1-5-2024 10:41;1-5-2024 10:42;0;100;59;1;1-5-2024 10:42;0;;;;;;;;;;;;;;;10;6;5;5;1;1;1;;;;;;;;5;1;42;MoneyImmediate
1-5-2024 10:42;1-5-2024 10:42;0;100;25;1;1-5-2024 10:42;25;;;;;;;;;;;;;;;20;5;4;3;3;5;5;;;;;;;;5;1;26;MoneyImmediate
1-5-2024 10:40;1-5-2024 10:42;0;100;106;1;1-5-2024 10:42;40;1;5;7;7;7;7;7;;;;;;;;;;;;;;;;;;;;;;7;2;51;MoneyasTimeWorkedImmediate
1-5-2024 10:41;1-5-2024 10:42;0;100;83;1;1-5-2024 10:42;20;;;;;;;;;;;;;;;20;3;4;3;3;5;4;;;;;;;;3;1;25;MoneyImmediate
1-5-2024 10:40;1-5-2024 10:42;0;100;99;1;1-5-2024 10:42;90;5;6;6;6;5;5;6;;;;;;;;;;;;;;;;;;;;;;6;2;28;MoneyasTimeWorkedImmediate
1-5-2024 10:41;1-5-2024 10:42;0;100;91;1;1-5-2024 10:42;38;;;;;;;;1;5;5;5;5;5;5;;;;;;;;;;;;;;;6;1;59;MoneyasTimeLongTerm
1-5-2024 10:41;1-5-2024 10:42;0;100;64;1;1-5-2024 10:42;42;;;;;;;;;;;;;;;50;6;6;6;3;5;3;;;;;;;;5;2;27;MoneyImmediate
1-5-2024 10:41;1-5-2024 10:42;0;100;91;1;1-5-2024 10:42;16;;;;;;;;0;1;1;1;1;1;1;;;;;;;;;;;;;;;4;2;58;MoneyasTimeLongTerm
1-5-2024 10:41;1-5-2024 10:42;0;100;74;1;1-5-2024 10:42;0;;;;;;;;;;;;;;;5;5;5;5;3;3;3;;;;;;;;4;2;46;MoneyImmediate
1-5-2024 10:41;1-5-2024 10:42;0;100;56;1;1-5-2024 10:42;10;;;;;;;;;;;;;;;;;;;;;;10;5;5;5;3;3;3;5;1;37;Moneylongterm
1-5-2024 10:41;1-5-2024 10:42;0;100;104;1;1-5-2024 10:42;33,65;0;4;1;1;1;1;3;;;;;;;;;;;;;;;;;;;;;;1;2;46;MoneyasTimeWorkedImmediate
1-5-2024 10:40;1-5-2024 10:42;0;100;125;1;1-5-2024 10:42;50;;;;;;;;;;;;;;;;;;;;;;50;4;5;3;1;1;1;5;2;41;Moneylongterm
1-5-2024 10:40;1-5-2024 10:42;0;100;122;1;1-5-2024 10:42;25;;;;;;;;10;7;7;7;4;4;4;;;;;;;;;;;;;;;7;2;40;MoneyasTimeLongTerm
1-5-2024 10:40;1-5-2024 10:42;0;100;113;1;1-5-2024 10:42;40;;;;;;;;;;;;;;;;;;;;;;100;5;6;5;1;1;1;5;2;48;Moneylongterm
1-5-2024 10:41;1-5-2024 10:42;0;100;93;1;1-5-2024 10:42;19,14;0;5;5;5;6;6;6;;;;;;;;;;;;;;;;;;;;;;5;2;47;MoneyasTimeWorkedImmediate
1-5-2024 10:41;1-5-2024 10:42;0;100;56;1;1-5-2024 10:42;15;;;;;;;;;;;;;;;;;;;;;;0;2;1;2;1;1;1;2;1;42;Moneylongterm
1-5-2024 10:41;1-5-2024 10:42;0;100;54;1;1-5-2024 10:42;60;;;;;;;;;;;;;;;;;;;;;;0;1;4;1;1;1;1;1;1;48;Moneylongterm
1-5-2024 10:40;1-5-2024 10:42;0;100;111;1;1-5-2024 10:42;15;;;;;;;;;;;;;;;25;3;5;5;2;1;1;;;;;;;;4;2;48;MoneyImmediate
1-5-2024 10:41;1-5-2024 10:42;0;100;60;1;1-5-2024 10:42;29;;;;;;;;0;1;1;1;1;1;1;;;;;;;;;;;;;;;1;2;33;MoneyasTimeLongTerm
1-5-2024 10:41;1-5-2024 10:42;0;100;65;1;1-5-2024 10:42;43;;;;;;;;;;;;;;;25;5;6;6;1;1;1;;;;;;;;6;2;52;MoneyImmediate
1-5-2024 10:42;1-5-2024 10:42;0;100;36;1;1-5-2024 10:42;13,83;;;;;;;;;;;;;;;;;;;;;;5;4;5;5;7;7;7;3;2;23;Moneylongterm
1-5-2024 10:42;1-5-2024 10:42;0;100;50;1;1-5-2024 10:42;0;;;;;;;;;;;;;;;20;4;5;5;4;4;3;;;;;;;;4;2;27;MoneyImmediate
1-5-2024 10:41;1-5-2024 10:42;0;100;61;1;1-5-2024 10:42;20;;;;;;;;;;;;;;;;;;;;;;25;2;4;4;3;3;3;5;2;33;Moneylongterm
1-5-2024 10:42;1-5-2024 10:42;0;100;21;1;1-5-2024 10:42;19;;;;;;;;;;;;;;;;;;;;;;5;3;5;5;5;5;4;6;2;23;Moneylongterm
1-5-2024 10:42;1-5-2024 10:42;0;100;53;1;1-5-2024 10:42;32;;;;;;;;5;6;5;5;5;4;5;;;;;;;;;;;;;;;5;1;28;MoneyasTimeLongTerm
1-5-2024 10:42;1-5-2024 10:42;0;100;51;1;1-5-2024 10:42;7,65;;;;;;;;;;;;;;;20;5;5;5;2;2;2;;;;;;;;5;2;31;MoneyImmediate
1-5-2024 10:41;1-5-2024 10:42;0;100;66;1;1-5-2024 10:42;30;;;;;;;;;;;;;;;;;;;;;;5;4;5;5;3;2;5;5;2;39;Moneylongterm
1-5-2024 10:41;1-5-2024 10:42;0;100;77;1;1-5-2024 10:43;30;;;;;;;;1;5;7;6;7;6;7;;;;;;;;;;;;;;;7;1;55;MoneyasTimeLongTerm
1-5-2024 10:41;1-5-2024 10:42;0;100;66;1;1-5-2024 10:43;0;;;;;;;;;;;;;;;15;5;5;4;2;2;2;;;;;;;;6;2;44;MoneyImmediate
1-5-2024 10:41;1-5-2024 10:43;0;100;68;1;1-5-2024 10:43;18;;;;;;;;;;;;;;;;;;;;;;0;7;1;1;1;1;1;1;2;40;Moneylongterm
1-5-2024 10:42;1-5-2024 10:43;0;100;58;1;1-5-2024 10:43;37,5;2;5;6;6;5;7;7;;;;;;;;;;;;;;;;;;;;;;6;1;27;MoneyasTimeWorkedImmediate
